2025-08-08 16:05:02,141 [INFO] Scraped https://neetcode.io/problems/palindromic-substrings?list=neetcode150 | DSA: 5. Manacher's Algorithm | TC: O(n) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:03,078 [INFO] Scraped https://neetcode.io/problems/decode-ways?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:04,057 [INFO] Scraped https://neetcode.io/problems/coin-change?list=neetcode150 | DSA: 4. Breadth First Search | TC: O(n∗t) | SC: O(t) | Desc_len: 406
2025-08-08 16:05:05,397 [INFO] Scraped https://neetcode.io/problems/maximum-product-subarray?list=neetcode150 | DSA: 4. Prefix & Suffix | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:06,826 [INFO] Scraped https://neetcode.io/problems/word-break?list=neetcode150 | DSA: 6. Dynamic Programming (Trie) | TC: O((n∗t2) | SC: O(n+(m∗t) | Desc_len: 406
2025-08-08 16:05:08,211 [INFO] Scraped https://neetcode.io/problems/longest-increasing-subsequence?list=neetcode150 | DSA: 7. Dynamic Programming + Binary Search | TC: O(nlog⁡n) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:09,168 [INFO] Scraped https://neetcode.io/problems/partition-equal-subset-sum?list=neetcode150 | DSA: 7. Dynamic Programming (Bitset) | TC: O(n∗target) | SC: O(target) | Desc_len: 406
2025-08-08 16:05:10,543 [INFO] Scraped https://neetcode.io/problems/count-paths?list=neetcode150 | DSA: 6. Math | TC: O(min(m,n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:11,650 [INFO] Scraped https://neetcode.io/problems/longest-common-subsequence?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(m∗n) | SC: O(min(m,n) | Desc_len: 406
2025-08-08 16:05:12,548 [INFO] Scraped https://neetcode.io/problems/buy-and-sell-crypto-with-cooldown?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n) | SC: O(1) | Desc_len: 406
2025-08-08 16:05:13,582 [INFO] Scraped https://neetcode.io/problems/coin-change-ii?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(n∗a) | SC: O(a) | Desc_len: 406
2025-08-08 16:05:14,519 [INFO] Scraped https://neetcode.io/problems/target-sum?list=neetcode150 | DSA: 4. Dynamic Programming (Space Optimized) | TC: O(n∗m) | SC: O(m) | Desc_len: 406
2025-08-08 16:05:15,617 [INFO] Scraped https://neetcode.io/problems/interleaving-string?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(m∗n) | SC: O(min(m,n) | Desc_len: 406
2025-08-08 16:05:16,967 [INFO] Scraped https://neetcode.io/problems/longest-increasing-path-in-matrix?list=neetcode150 | DSA: 3. Topological Sort (Kahn's Algorithm) | TC: O(m∗n) | SC: O(m∗n) | Desc_len: 406
2025-08-08 16:05:18,312 [INFO] Scraped https://neetcode.io/problems/count-subsequences?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(m∗n) | SC: O(n) | Desc_len: 406
2025-08-08 16:05:19,669 [INFO] Scraped https://neetcode.io/problems/edit-distance?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(m∗n) | SC: O(min(m,n) | Desc_len: 406
2025-08-08 16:05:20,663 [INFO] Scraped https://neetcode.io/problems/burst-balloons?list=neetcode150 | DSA: 3. Dynamic Programming (Bottom-Up) | TC: O(n3) | SC: O(n2) | Desc_len: 406
2025-08-08 16:05:21,689 [INFO] Scraped https://neetcode.io/problems/regular-expression-matching?list=neetcode150 | DSA: 5. Dynamic Programming (Optimal) | TC: O(m∗n) | SC: O(n) | Desc_len: 406
